// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\obj\Release\net8.0/" /p:OutDir="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" /p:OutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c
// command took 1.15 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\obj\Release\net8.0/" /p:OutDir="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" /p:OutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" --output "C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c
// command took 3.58 sec and exited with 0
// ***** Done, took 00:00:04 (4.74 sec)   *****
// Found 4 benchmarks:
//   DictionaryBuildBenchmark.BuildLinear: DefaultJob
//   DictionaryBuildBenchmark.BuildBst: DefaultJob
//   DictionaryBuildBenchmark.BuildHashSet: DefaultJob
//   DictionaryBuildBenchmark.BuildTrie: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
WorkloadActual  17: 7 op, 509708000.00 ns, 72.8154 ms/op

// AfterActualRun
WorkloadResult   1: 7 op, 499907500.00 ns, 71.4154 ms/op
WorkloadResult   2: 7 op, 507414100.00 ns, 72.4877 ms/op
WorkloadResult   3: 7 op, 514576100.00 ns, 73.5109 ms/op
WorkloadResult   4: 7 op, 501851800.00 ns, 71.6931 ms/op
WorkloadResult   5: 7 op, 497428300.00 ns, 71.0612 ms/op
WorkloadResult   6: 7 op, 498114200.00 ns, 71.1592 ms/op
WorkloadResult   7: 7 op, 511913000.00 ns, 73.1304 ms/op
WorkloadResult   8: 7 op, 504004200.00 ns, 72.0006 ms/op
WorkloadResult   9: 7 op, 523904300.00 ns, 74.8435 ms/op
WorkloadResult  10: 7 op, 499590000.00 ns, 71.3700 ms/op
WorkloadResult  11: 7 op, 509638800.00 ns, 72.8055 ms/op
WorkloadResult  12: 7 op, 508172500.00 ns, 72.5961 ms/op
WorkloadResult  13: 7 op, 526346800.00 ns, 75.1924 ms/op
WorkloadResult  14: 7 op, 498554500.00 ns, 71.2221 ms/op
WorkloadResult  15: 7 op, 529793800.00 ns, 75.6848 ms/op
WorkloadResult  16: 7 op, 515662200.00 ns, 73.6660 ms/op
WorkloadResult  17: 7 op, 509708000.00 ns, 72.8154 ms/op
// GC:  17 13 7 102191128 7
// Threading:  0 0 7

// AfterAll
// Benchmark Process 11672 has exited with code 0.

Mean = 72.744 ms, StdErr = 0.352 ms (0.48%), N = 17, StdDev = 1.451 ms
Min = 71.061 ms, Q1 = 71.415 ms, Median = 72.596 ms, Q3 = 73.511 ms, Max = 75.685 ms
IQR = 2.096 ms, LowerFence = 68.272 ms, UpperFence = 76.654 ms
ConfidenceInterval = [71.331 ms; 74.158 ms] (CI 99.9%), Margin = 1.413 ms (1.94% of Mean)
Skewness = 0.61, Kurtosis = 2.11, MValue = 2

// ** Remained 2 (50.0%) benchmark(s) to run. Estimated finish 2025-05-22 17:59 (0h 1m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DictionaryBuildBenchmark.BuildHashSet: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 84e0de06-c74e-4534-81a9-a7262036054c.dll --anonymousPipes 1572 652 --benchmarkName DictionaryBuildBenchmark.BuildHashSet --job Default --benchmarkId 2 in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 174900.00 ns, 174.9000 us/op
WorkloadJitting  1: 1 op, 16145100.00 ns, 16.1451 ms/op

OverheadJitting  2: 16 op, 312100.00 ns, 19.5063 us/op
WorkloadJitting  2: 16 op, 121514900.00 ns, 7.5947 ms/op

WorkloadPilot    1: 16 op, 118319900.00 ns, 7.3950 ms/op
WorkloadPilot    2: 32 op, 272486400.00 ns, 8.5152 ms/op
WorkloadPilot    3: 64 op, 479181200.00 ns, 7.4872 ms/op
WorkloadPilot    4: 128 op, 906029800.00 ns, 7.0784 ms/op

OverheadWarmup   1: 128 op, 2000.00 ns, 15.6250 ns/op
OverheadWarmup   2: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadWarmup   3: 128 op, 800.00 ns, 6.2500 ns/op
OverheadWarmup   4: 128 op, 800.00 ns, 6.2500 ns/op
OverheadWarmup   5: 128 op, 900.00 ns, 7.0313 ns/op
OverheadWarmup   6: 128 op, 900.00 ns, 7.0313 ns/op
OverheadWarmup   7: 128 op, 900.00 ns, 7.0313 ns/op

OverheadActual   1: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual   2: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual   3: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual   4: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual   5: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   6: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   7: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   8: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual   9: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  10: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  11: 128 op, 1200.00 ns, 9.3750 ns/op
OverheadActual  12: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual  13: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  14: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  15: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual  16: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  17: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  18: 128 op, 1200.00 ns, 9.3750 ns/op
OverheadActual  19: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadActual  20: 128 op, 1200.00 ns, 9.3750 ns/op

WorkloadWarmup   1: 128 op, 710251700.00 ns, 5.5488 ms/op
WorkloadWarmup   2: 128 op, 721651400.00 ns, 5.6379 ms/op
WorkloadWarmup   3: 128 op, 718954300.00 ns, 5.6168 ms/op
WorkloadWarmup   4: 128 op, 718337000.00 ns, 5.6120 ms/op
WorkloadWarmup   5: 128 op, 709077300.00 ns, 5.5397 ms/op
WorkloadWarmup   6: 128 op, 708882500.00 ns, 5.5381 ms/op
WorkloadWarmup   7: 128 op, 715034400.00 ns, 5.5862 ms/op
WorkloadWarmup   8: 128 op, 717271500.00 ns, 5.6037 ms/op
WorkloadWarmup   9: 128 op, 722661400.00 ns, 5.6458 ms/op
WorkloadWarmup  10: 128 op, 716689400.00 ns, 5.5991 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 784862500.00 ns, 6.1317 ms/op
WorkloadActual   2: 128 op, 751820800.00 ns, 5.8736 ms/op
WorkloadActual   3: 128 op, 775855700.00 ns, 6.0614 ms/op
WorkloadActual   4: 128 op, 774591100.00 ns, 6.0515 ms/op
WorkloadActual   5: 128 op, 770183200.00 ns, 6.0171 ms/op
WorkloadActual   6: 128 op, 789096400.00 ns, 6.1648 ms/op
WorkloadActual   7: 128 op, 774271100.00 ns, 6.0490 ms/op
WorkloadActual   8: 128 op, 801246700.00 ns, 6.2597 ms/op
WorkloadActual   9: 128 op, 776214900.00 ns, 6.0642 ms/op
WorkloadActual  10: 128 op, 771874600.00 ns, 6.0303 ms/op
WorkloadActual  11: 128 op, 752760700.00 ns, 5.8809 ms/op
WorkloadActual  12: 128 op, 791266400.00 ns, 6.1818 ms/op
WorkloadActual  13: 128 op, 785826100.00 ns, 6.1393 ms/op
WorkloadActual  14: 128 op, 796398100.00 ns, 6.2219 ms/op
WorkloadActual  15: 128 op, 781493400.00 ns, 6.1054 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 784861600.00 ns, 6.1317 ms/op
WorkloadResult   2: 128 op, 751819900.00 ns, 5.8736 ms/op
WorkloadResult   3: 128 op, 775854800.00 ns, 6.0614 ms/op
WorkloadResult   4: 128 op, 774590200.00 ns, 6.0515 ms/op
WorkloadResult   5: 128 op, 770182300.00 ns, 6.0170 ms/op
WorkloadResult   6: 128 op, 789095500.00 ns, 6.1648 ms/op
WorkloadResult   7: 128 op, 774270200.00 ns, 6.0490 ms/op
WorkloadResult   8: 128 op, 801245800.00 ns, 6.2597 ms/op
WorkloadResult   9: 128 op, 776214000.00 ns, 6.0642 ms/op
WorkloadResult  10: 128 op, 771873700.00 ns, 6.0303 ms/op
WorkloadResult  11: 128 op, 752759800.00 ns, 5.8809 ms/op
WorkloadResult  12: 128 op, 791265500.00 ns, 6.1818 ms/op
WorkloadResult  13: 128 op, 785825200.00 ns, 6.1393 ms/op
WorkloadResult  14: 128 op, 796397200.00 ns, 6.2219 ms/op
WorkloadResult  15: 128 op, 781492500.00 ns, 6.1054 ms/op
// GC:  127 127 127 1088381808 128
// Threading:  0 0 128

// AfterAll
// Benchmark Process 15716 has exited with code 0.

Mean = 6.082 ms, StdErr = 0.028 ms (0.46%), N = 15, StdDev = 0.109 ms
Min = 5.874 ms, Q1 = 6.040 ms, Median = 6.064 ms, Q3 = 6.152 ms, Max = 6.260 ms
IQR = 0.112 ms, LowerFence = 5.871 ms, UpperFence = 6.321 ms
ConfidenceInterval = [5.965 ms; 6.199 ms] (CI 99.9%), Margin = 0.117 ms (1.92% of Mean)
Skewness = -0.38, Kurtosis = 2.37, MValue = 2

// ** Remained 1 (25.0%) benchmark(s) to run. Estimated finish 2025-05-22 17:58 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DictionaryBuildBenchmark.BuildTrie: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 84e0de06-c74e-4534-81a9-a7262036054c.dll --anonymousPipes 912 1392 --benchmarkName DictionaryBuildBenchmark.BuildTrie --job Default --benchmarkId 3 in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 150900.00 ns, 150.9000 us/op
WorkloadJitting  1: 1 op, 114668900.00 ns, 114.6689 ms/op

WorkloadPilot    1: 2 op, 229651600.00 ns, 114.8258 ms/op
WorkloadPilot    2: 3 op, 365712500.00 ns, 121.9042 ms/op
WorkloadPilot    3: 4 op, 479689100.00 ns, 119.9223 ms/op
WorkloadPilot    4: 5 op, 595513500.00 ns, 119.1027 ms/op

WorkloadWarmup   1: 5 op, 611063500.00 ns, 122.2127 ms/op
WorkloadWarmup   2: 5 op, 576542200.00 ns, 115.3084 ms/op
WorkloadWarmup   3: 5 op, 594546000.00 ns, 118.9092 ms/op
WorkloadWarmup   4: 5 op, 574763400.00 ns, 114.9527 ms/op
WorkloadWarmup   5: 5 op, 578215400.00 ns, 115.6431 ms/op
WorkloadWarmup   6: 5 op, 603875700.00 ns, 120.7751 ms/op
WorkloadWarmup   7: 5 op, 609449200.00 ns, 121.8898 ms/op
WorkloadWarmup   8: 5 op, 618351100.00 ns, 123.6702 ms/op
WorkloadWarmup   9: 5 op, 603653800.00 ns, 120.7308 ms/op

// BeforeActualRun
WorkloadActual   1: 5 op, 612174300.00 ns, 122.4349 ms/op
WorkloadActual   2: 5 op, 584848500.00 ns, 116.9697 ms/op
WorkloadActual   3: 5 op, 607649300.00 ns, 121.5299 ms/op
WorkloadActual   4: 5 op, 587776200.00 ns, 117.5552 ms/op
WorkloadActual   5: 5 op, 581342300.00 ns, 116.2685 ms/op
WorkloadActual   6: 5 op, 597343300.00 ns, 119.4687 ms/op
WorkloadActual   7: 5 op, 593591000.00 ns, 118.7182 ms/op
WorkloadActual   8: 5 op, 573595100.00 ns, 114.7190 ms/op
WorkloadActual   9: 5 op, 593785500.00 ns, 118.7571 ms/op
WorkloadActual  10: 5 op, 588408700.00 ns, 117.6817 ms/op
WorkloadActual  11: 5 op, 608846800.00 ns, 121.7694 ms/op
WorkloadActual  12: 5 op, 614603000.00 ns, 122.9206 ms/op
WorkloadActual  13: 5 op, 615536800.00 ns, 123.1074 ms/op
WorkloadActual  14: 5 op, 586362100.00 ns, 117.2724 ms/op
WorkloadActual  15: 5 op, 628685600.00 ns, 125.7371 ms/op
WorkloadActual  16: 5 op, 615929000.00 ns, 123.1858 ms/op
WorkloadActual  17: 5 op, 587323700.00 ns, 117.4647 ms/op
WorkloadActual  18: 5 op, 587442000.00 ns, 117.4884 ms/op
WorkloadActual  19: 5 op, 617720300.00 ns, 123.5441 ms/op
WorkloadActual  20: 5 op, 614596500.00 ns, 122.9193 ms/op
WorkloadActual  21: 5 op, 603065800.00 ns, 120.6132 ms/op
WorkloadActual  22: 5 op, 617298300.00 ns, 123.4597 ms/op
WorkloadActual  23: 5 op, 587836900.00 ns, 117.5674 ms/op

// AfterActualRun
WorkloadResult   1: 5 op, 612174300.00 ns, 122.4349 ms/op
WorkloadResult   2: 5 op, 584848500.00 ns, 116.9697 ms/op
WorkloadResult   3: 5 op, 607649300.00 ns, 121.5299 ms/op
WorkloadResult   4: 5 op, 587776200.00 ns, 117.5552 ms/op
WorkloadResult   5: 5 op, 581342300.00 ns, 116.2685 ms/op
WorkloadResult   6: 5 op, 597343300.00 ns, 119.4687 ms/op
WorkloadResult   7: 5 op, 593591000.00 ns, 118.7182 ms/op
WorkloadResult   8: 5 op, 573595100.00 ns, 114.7190 ms/op
WorkloadResult   9: 5 op, 593785500.00 ns, 118.7571 ms/op
WorkloadResult  10: 5 op, 588408700.00 ns, 117.6817 ms/op
WorkloadResult  11: 5 op, 608846800.00 ns, 121.7694 ms/op
WorkloadResult  12: 5 op, 614603000.00 ns, 122.9206 ms/op
WorkloadResult  13: 5 op, 615536800.00 ns, 123.1074 ms/op
WorkloadResult  14: 5 op, 586362100.00 ns, 117.2724 ms/op
WorkloadResult  15: 5 op, 628685600.00 ns, 125.7371 ms/op
WorkloadResult  16: 5 op, 615929000.00 ns, 123.1858 ms/op
WorkloadResult  17: 5 op, 587323700.00 ns, 117.4647 ms/op
WorkloadResult  18: 5 op, 587442000.00 ns, 117.4884 ms/op
WorkloadResult  19: 5 op, 617720300.00 ns, 123.5441 ms/op
WorkloadResult  20: 5 op, 614596500.00 ns, 122.9193 ms/op
WorkloadResult  21: 5 op, 603065800.00 ns, 120.6132 ms/op
WorkloadResult  22: 5 op, 617298300.00 ns, 123.4597 ms/op
WorkloadResult  23: 5 op, 587836900.00 ns, 117.5674 ms/op
// GC:  55 33 10 313085960 5
// Threading:  0 0 5

// AfterAll
// Benchmark Process 15944 has exited with code 0.

Mean = 120.050 ms, StdErr = 0.625 ms (0.52%), N = 23, StdDev = 2.999 ms
Min = 114.719 ms, Q1 = 117.522 ms, Median = 119.469 ms, Q3 = 122.920 ms, Max = 125.737 ms
IQR = 5.398 ms, LowerFence = 109.425 ms, UpperFence = 131.017 ms
ConfidenceInterval = [117.678 ms; 122.422 ms] (CI 99.9%), Margin = 2.372 ms (1.98% of Mean)
Skewness = 0.09, Kurtosis = 1.64, MValue = 2

// ** Remained 0 (0.0%) benchmark(s) to run. Estimated finish 2025-05-22 17:58 (0h 0m from now) **
Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\DictionaryBuildBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\DictionaryBuildBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\DictionaryBuildBenchmark-report.html

// * Detailed results *
DictionaryBuildBenchmark.BuildLinear: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 18.196 ms, StdErr = 0.150 ms (0.82%), N = 100, StdDev = 1.501 ms
Min = 15.663 ms, Q1 = 17.019 ms, Median = 17.872 ms, Q3 = 19.412 ms, Max = 22.221 ms
IQR = 2.393 ms, LowerFence = 13.429 ms, UpperFence = 23.002 ms
ConfidenceInterval = [17.687 ms; 18.705 ms] (CI 99.9%), Margin = 0.509 ms (2.80% of Mean)
Skewness = 0.35, Kurtosis = 2.25, MValue = 2.4
-------------------- Histogram --------------------
[15.239 ms ; 16.086 ms) | @@@@@@@
[16.086 ms ; 17.081 ms) | @@@@@@@@@@@@@@@@@@@
[17.081 ms ; 17.930 ms) | @@@@@@@@@@@@@@@@@@@@@@@@@
[17.930 ms ; 18.802 ms) | @@@@@@@@@@@@
[18.802 ms ; 19.651 ms) | @@@@@@@@@@@@@@@@@
[19.651 ms ; 20.512 ms) | @@@@@@@@@@@@@@
[20.512 ms ; 21.462 ms) | @@@@
[21.462 ms ; 22.311 ms) | @@
---------------------------------------------------

DictionaryBuildBenchmark.BuildBst: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 72.744 ms, StdErr = 0.352 ms (0.48%), N = 17, StdDev = 1.451 ms
Min = 71.061 ms, Q1 = 71.415 ms, Median = 72.596 ms, Q3 = 73.511 ms, Max = 75.685 ms
IQR = 2.096 ms, LowerFence = 68.272 ms, UpperFence = 76.654 ms
ConfidenceInterval = [71.331 ms; 74.158 ms] (CI 99.9%), Margin = 1.413 ms (1.94% of Mean)
Skewness = 0.61, Kurtosis = 2.11, MValue = 2
-------------------- Histogram --------------------
[71.034 ms ; 72.515 ms) | @@@@@@@@
[72.515 ms ; 76.017 ms) | @@@@@@@@@
---------------------------------------------------

DictionaryBuildBenchmark.BuildHashSet: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 6.082 ms, StdErr = 0.028 ms (0.46%), N = 15, StdDev = 0.109 ms
Min = 5.874 ms, Q1 = 6.040 ms, Median = 6.064 ms, Q3 = 6.152 ms, Max = 6.260 ms
IQR = 0.112 ms, LowerFence = 5.871 ms, UpperFence = 6.321 ms
ConfidenceInterval = [5.965 ms; 6.199 ms] (CI 99.9%), Margin = 0.117 ms (1.92% of Mean)
Skewness = -0.38, Kurtosis = 2.37, MValue = 2
-------------------- Histogram --------------------
[5.815 ms ; 6.024 ms) | @@@
[6.024 ms ; 6.274 ms) | @@@@@@@@@@@@
---------------------------------------------------

DictionaryBuildBenchmark.BuildTrie: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 120.050 ms, StdErr = 0.625 ms (0.52%), N = 23, StdDev = 2.999 ms
Min = 114.719 ms, Q1 = 117.522 ms, Median = 119.469 ms, Q3 = 122.920 ms, Max = 125.737 ms
IQR = 5.398 ms, LowerFence = 109.425 ms, UpperFence = 131.017 ms
ConfidenceInterval = [117.678 ms; 122.422 ms] (CI 99.9%), Margin = 2.372 ms (1.98% of Mean)
Skewness = 0.09, Kurtosis = 1.64, MValue = 2
-------------------- Histogram --------------------
[113.335 ms ; 116.128 ms) | @
[116.128 ms ; 118.897 ms) | @@@@@@@@@@
[118.897 ms ; 123.921 ms) | @@@@@@@@@@@
[123.921 ms ; 127.121 ms) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.14.0, Windows 11 (10.0.22631.5335/23H2/2023Update/SunValley3)
12th Gen Intel Core i5-1240P, 1 CPU, 16 logical and 12 physical cores
.NET SDK 8.0.409
  [Host]     : .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
  DefaultJob : .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2


| Method       | Mean       | Error     | StdDev    | Gen0       | Gen1      | Gen2      | Allocated |
|------------- |-----------:|----------:|----------:|-----------:|----------:|----------:|----------:|
| BuildLinear  |  18.196 ms | 0.5091 ms | 1.5011 ms |  1625.0000 | 1468.7500 |  906.2500 |   9.74 MB |
| BuildBst     |  72.744 ms | 1.4133 ms | 1.4514 ms |  2428.5714 | 1857.1429 | 1000.0000 |  13.92 MB |
| BuildHashSet |   6.082 ms | 0.1170 ms | 0.1095 ms |   992.1875 |  992.1875 |  992.1875 |   8.11 MB |
| BuildTrie    | 120.050 ms | 2.3717 ms | 2.9995 ms | 11000.0000 | 6600.0000 | 2000.0000 |  59.72 MB |

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen0      : GC Generation 0 collects per 1000 operations
  Gen1      : GC Generation 1 collects per 1000 operations
  Gen2      : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ms      : 1 Millisecond (0.001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
Run time: 00:02:04 (124.3 sec), executed benchmarks: 4

Global total time: 00:02:09 (129.07 sec), executed benchmarks: 4
// * Artifacts cleanup *
Artifacts cleanup is finished
